id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,State
AVwc5Ova_7pvs4fz0GWq,2016-03-21T00:10:41Z,2019-04-15T06:00:48Z,2625 Keith St NW,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Cleveland,US,us/tn/cleveland/2625keithstnw/-2071451315,35.18558,-84.872179,,14.26,14.26,USD,"2018-01-18T15:58:00.990Z,2018-01-19T15:06:58.673Z,2018-01-18T16:05:43.608Z,2018-01-19T14:02:00.265Z",,Cheese Pizza,Gabriels,37312,USD,0,25,TN
AVwc5Ova_7pvs4fz0GWq,2016-03-21T00:10:41Z,2019-04-15T06:00:48Z,2625 Keith St NW,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Cleveland,US,us/tn/cleveland/2625keithstnw/-2071451315,35.18558,-84.872179,,21.51,21.51,USD,"2018-01-18T15:58:00.991Z,2018-01-19T15:06:58.674Z,2018-01-18T16:05:43.609Z,2018-01-19T14:02:00.265Z,2016-03-21T00:10:41Z",,Cheese Pizza,Gabriels,37312,USD,0,25,TN
AVweXKfX_7pvs4fzCUQC,2016-05-10T06:51:23Z,2019-04-15T06:00:03Z,1 Wall St,Pizza Place,Accommodation & Food Services,Kingston,US,us/ny/kingston/1wallst/-1598023092,41.924422,-74.013289,,11,11,USD,"2018-01-18T18:41:31.805Z,2016-05-10T06:51:00.000Z,2018-04-05T23:22:13.248Z,2018-01-19T15:37:15.654Z",,Cheese Pizza,Kings Pizza,12401,USD,0,25,NY
AVweXKfX_7pvs4fzCUQC,2016-05-10T06:51:23Z,2019-04-15T06:00:03Z,1 Wall St,Pizza Place,Accommodation & Food Services,Kingston,US,us/ny/kingston/1wallst/-1598023092,41.924422,-74.013289,,5.5,5.5,USD,"2018-01-18T18:41:31.805Z,2018-04-05T23:22:13.248Z,2018-01-19T15:37:15.654Z",,Cheese Pizza,Kings Pizza,12401,USD,0,25,NY
AVzBBgtZ3D1zeR_xBExT,2017-06-19T15:43:37Z,2019-04-15T05:57:53Z,921 Washington Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Miami Beach,US,us/fl/miamibeach/921washingtonave/1225469315,25.779851,-80.132911,,10,10,USD,"2018-06-27T17:51:18.896Z,2018-01-30T18:41:49.490Z,2018-05-08T03:11:16.755Z,2018-04-09T07:33:53.740Z,2018-04-10T18:23:15.075Z,2018-03-31T02:16:40.294Z,2018-06-17T10:25:39.616Z",a blend of plum tomato sauce mixed with oregano fresh parmesan cheese ampamp topped with mozzarella cheese,Cheese Pizza,Groovys Pizza,33139,USD,0,25,FL
AVz5xpBzFcQ3k02bDe5J,2017-06-30T16:12:38Z,2019-04-15T05:57:30Z,203 N McDowell Blvd,Pizza Place,Accommodation & Food Services,Petaluma,US,us/ca/petaluma/203nmcdowellblvd/-758238715,38.250343,-122.628761,,11.9,11.9,USD,2018-02-23T05:16:00.673Z,,Cheese Pizza,Old Chicago Pizza,94954,USD,0,25,CA
AVwc5XABByjofQCxjXb_,2015-10-23T01:55:23Z,2019-04-15T05:56:41Z,1531 W Mission Rd,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,San Marcos,US,us/ca/sanmarcos/1531wmissionrd/-408326254,33.150886,-117.193875,http://www.singlepage.com/station-pizza-deli,6.5,6.5,USD,"2018-01-18T19:45:04.960Z,2016-03-26T04:08:00.000Z",,Cheese Pizza,Station Pizza Deli,92069,USD,0,25,CA
AVweb2cFByjofQCxyK3d,2015-10-24T00:01:42Z,2019-04-14T08:07:00Z,6052 William Flynn Hwy,Pizza Place,Accommodation & Food Services,Bakerstown,US,us/pa/bakerstown/6052williamflynnhwy/-2089451434,40.660149,-79.93373,,8,8,USD,"2018-02-18T16:31:07.554Z,2018-01-20T15:50:18.299Z,2018-01-18T20:26:31.292Z,2017-12-20T12:10:06.040Z,2017-12-11T07:29:50.951Z",,Cheese Pizza,Olive Peppers,15007,USD,0,25,PA
AVweb2cFByjofQCxyK3d,2015-10-24T00:01:42Z,2019-04-14T08:07:00Z,6052 William Flynn Hwy,Pizza Place,Accommodation & Food Services,Bakerstown,US,us/pa/bakerstown/6052williamflynnhwy/-2089451434,40.660149,-79.93373,,10,10,USD,"2018-02-18T16:31:07.556Z,2018-01-20T15:50:18.302Z,2018-01-18T20:26:31.294Z,2017-12-20T12:10:06.040Z,2017-12-11T07:29:50.953Z,2015-10-24T00:01:42Z",,Cheese Pizza,Olive Peppers,15007,USD,0,25,PA
AVwdDysNByjofQCxlFUN,2016-03-31T02:30:28Z,2019-04-14T07:19:32Z,1356 E Main St,Pizza Place,Accommodation & Food Services,Shrub Oak,US,us/ny/shruboak/1356emainst/-1573044853,41.327322,-73.83725,,14,14,USD,"2018-02-23T11:57:31.726Z,2018-02-18T18:32:07.828Z,2018-01-19T10:40:16.417Z,2017-12-20T16:54:35.932Z,2017-12-11T09:02:39.491Z,2016-03-31T02:30:28Z,2016-05-09T23:26:47Z",,Cheese Pizza,Francescas Pizza,10588,USD,0,25,NY
